Rec,Voltage,Tot. Diff. Cap.
,[V],[mAh/V]
1161,2.7621,
1162,2.7618,
1163,2.762,
1164,2.762,
1165,2.762,
1166,2.762,
1167,2.762,
1168,2.7618,
1169,2.7618,
1170,2.7618,
1171,2.7617,
1172,2.7618,
1173,2.7613,
1174,2.7618,
1175,2.7617,
1176,2.7615,
1177,2.7615,
1178,2.7613,
1179,2.7617,
1180,2.7613,
1181,2.7613,
1182,2.7615,
1183,2.7613,
1184,2.7613,
1185,2.7613,
1186,2.7612,
1187,2.7612,
1188,2.7613,
1189,2.7612,
1190,2.7612,
1191,2.7613,
1192,2.7612,
1193,2.761,
1194,2.761,
1195,2.7607,
1196,2.7609,
1197,2.761,
1198,2.761,
1199,2.7609,
1200,2.7604,
1201,2.7609,
1202,2.7607,
1203,2.7609,
1204,2.7606,
1205,2.7607,
1206,2.7604,
1207,2.7606,
1208,2.7604,
1209,2.7601,0
1210,2.7604,
1211,2.7603,
1212,2.7603,
1213,2.7604,
1214,2.7601,
1215,2.76,
1216,2.7603,
1217,2.7601,
1218,2.7603,
1219,2.7601,
1220,2.76,
1221,2.7601,
1222,2.76,
1223,2.76,
1224,2.76,
1225,2.76,
1226,2.7598,
1227,2.76,
1228,2.7597,
1229,2.7597,
1230,2.7598,
1231,2.7597,
1232,2.7597,
1233,2.7597,
1234,2.7597,
1235,2.7595,
1236,2.7594,
1237,2.7595,
1238,2.7597,
1239,2.7595,
1240,2.7595,
1241,2.7597,
1242,2.7595,
1243,2.7595,
1244,2.7592,
1245,2.7591,
1246,2.7594,
1247,2.7594,
1248,2.7591,
1249,2.7594,
1250,2.7591,
1251,2.7592,
1252,2.7591,
1253,2.7591,
1254,2.7589,
1255,2.7592,
1256,2.7591,
1257,2.7591,
1258,2.7588,
1259,2.7591,
1260,2.7589,
1261,2.7589,
1262,2.7586,
1263,2.7588,
1264,2.7586,
1265,2.7588,
1266,2.7588,
1267,2.7588,
1268,2.7584,
1269,2.7584,
1270,2.7584,
1271,2.7583,
1272,2.7584,
1273,2.7586,
1274,2.7584,
1275,2.7583,
1276,2.7583,
1277,2.7584,
1278,2.7583,
1279,2.758,
1280,2.7583,
1281,2.7581,
1282,2.758,
1283,2.758,
1284,2.7581,
1285,2.7578,
1286,2.7581,
1287,2.7578,
1288,2.758,
1289,2.758,
1290,2.7577,
1291,2.758,
1292,2.7578,
1293,2.758,
1294,2.7577,
1295,2.7577,
1296,2.7578,
1297,2.7577,
1298,2.7577,
1299,2.7574,
1300,2.7575,
1301,2.7574,
1302,2.7575,
1303,2.7577,
1304,2.7574,
1305,2.7575,
1306,2.7574,
1307,2.7574,
1308,2.7571,
1309,2.7572,
1310,2.7572,
1311,2.7574,
1312,2.7571,
1313,2.7571,
1314,2.7569,
1315,2.7572,
1316,2.7571,
1317,2.7572,
1318,2.7571,
1319,2.7571,
1320,2.7569,
1321,2.7569,
1322,2.7566,
1323,2.7571,
1324,2.7568,
1325,2.7566,
1326,2.7568,
1327,2.7563,
1328,2.7566,
1329,2.7568,
1330,2.7565,
1331,2.7565,
1332,2.7566,
1333,2.7565,
1334,2.7565,
1335,2.7563,
1336,2.7562,
1337,2.7563,
1338,2.7562,
1339,2.7563,
1340,2.7562,
1341,2.7563,
1342,2.7559,
1343,2.7562,
1344,2.756,
1345,2.7562,
1346,2.7557,
1347,2.7559,
1348,2.756,
1349,2.7559,
1350,2.756,
1351,2.7559,
1352,2.7559,
1353,2.7559,
1354,2.7556,
1355,2.7557,
1356,2.7559,
1357,2.7556,
1358,2.7557,
1359,2.7556,
1360,2.7554,
1361,2.7554,
1362,2.7559,
1363,2.7552,
1364,2.7556,
1365,2.7557,
1366,2.7556,
1367,2.7554,
1368,2.7556,
1369,2.7556,
1370,2.7551,0
1371,2.7552,
1372,2.7552,
1373,2.7552,
1374,2.7552,
1375,2.7549,
1376,2.7551,
1377,2.7551,
1378,2.7549,
1379,2.7548,
1380,2.7549,
1381,2.7549,
1382,2.7549,
1383,2.7548,
1384,2.7548,
1385,2.7548,
1386,2.7551,
1387,2.7548,
1388,2.7546,
1389,2.7546,
1390,2.7546,
1391,2.7546,
1392,2.7546,
1393,2.7545,
1394,2.7546,
1395,2.7545,
1396,2.7542,
1397,2.7545,
1398,2.7542,
1399,2.7545,
1400,2.7545,
1401,2.7542,
1402,2.7542,
1403,2.7543,
1404,2.7543,
1405,2.7543,
1406,2.7543,
1407,2.754,
1408,2.7542,
1409,2.754,
1410,2.7539,
1411,2.754,
1412,2.7543,
1413,2.754,
1414,2.7537,
1415,2.754,
1416,2.7539,
1417,2.754,
1418,2.7537,
1419,2.754,
1420,2.7539,
1421,2.7539,
1422,2.7539,
1423,2.7537,
1424,2.7539,
1425,2.7537,
1426,2.7536,
1427,2.7537,
1428,2.7537,
1429,2.7536,
1430,2.7537,
1431,2.7536,
1432,2.7536,
1433,2.7534,
1434,2.7533,
1435,2.7533,
1436,2.7533,
1437,2.7534,
1438,2.7533,
1439,2.753,
1440,2.753,
1441,2.7533,
1442,2.7533,
1443,2.753,
1444,2.7528,
1445,2.7527,
1446,2.7528,
1447,2.7528,
1448,2.7528,
1449,2.7527,
1450,2.7527,
1451,2.7525,
1452,2.7525,
1453,2.7525,
1454,2.7528,
1455,2.7525,
1456,2.7525,
1457,2.7523,
1458,2.7523,
1459,2.7523,
1460,2.7523,
1461,2.7525,
1462,2.7523,
1463,2.7523,
1464,2.7523,
1465,2.7522,
1466,2.7522,
1467,2.7523,
1468,2.7523,
1469,2.752,
1470,2.752,
1471,2.752,
1472,2.752,
1473,2.7522,
1474,2.752,
1475,2.752,
1476,2.7522,
1477,2.7519,
1478,2.7519,
1479,2.7519,
1480,2.7519,
1481,2.7519,
1482,2.752,
1483,2.7519,
1484,2.7519,
1485,2.7517,
1486,2.7516,
1487,2.7517,
1488,2.7517,
1489,2.7517,
1490,2.7514,
1491,2.7514,
1492,2.7516,
1493,2.7516,
1494,2.7514,
1495,2.7513,
1496,2.7513,
1497,2.7514,
1498,2.7513,
1499,2.7513,
1500,2.7511,
1501,2.7514,
1502,2.751,
1503,2.7513,
1504,2.7511,
1505,2.7511,
1506,2.751,
1507,2.7511,
1508,2.7511,
1509,2.7511,
1510,2.751,
1511,2.7511,
1512,2.7508,
1513,2.7508,
1514,2.751,
1515,2.751,
1516,2.7507,
1517,2.7508,
1518,2.7508,
1519,2.7507,
1520,2.7508,
1521,2.7505,
1522,2.7505,
1523,2.7508,
1524,2.7505,
1525,2.7505,
1526,2.7505,
1527,2.7504,
1528,2.7505,
1529,2.7505,
1530,2.7505,
1531,2.7504,
1532,2.7504,
1533,2.7504,
1534,2.7504,
1535,2.7501,0
1536,2.7504,
1537,2.7504,
1538,2.7504,
1539,2.7501,
1540,2.7499,
1541,2.7501,
1542,2.7501,
1543,2.7499,
1544,2.7501,
1545,2.7502,
1546,2.7501,
1547,2.7499,
1548,2.7496,
1549,2.7496,
1550,2.7494,
1551,2.7496,
1552,2.7498,
1553,2.7496,
1554,2.7498,
1555,2.7498,
1556,2.7496,
1557,2.7496,
1558,2.7494,
1559,2.7496,
1560,2.7494,
1561,2.7493,
1562,2.7491,
1563,2.7494,
1564,2.7494,
1565,2.7494,
1566,2.7491,
1567,2.7491,
1568,2.7493,
1569,2.7493,
1570,2.749,
1571,2.749,
1572,2.7491,
1573,2.7491,
1574,2.7491,
1575,2.7487,
1576,2.7491,
1577,2.749,
1578,2.7488,
1579,2.7487,
1580,2.7487,
1581,2.7487,
1582,2.7488,
1583,2.749,
1584,2.7488,
1585,2.7487,
1586,2.7487,
1587,2.7488,
1588,2.7487,
1589,2.7487,
1590,2.7485,
1591,2.7485,
1592,2.7488,
1593,2.7484,
1594,2.7484,
1595,2.7485,
1596,2.7485,
1597,2.7484,
1598,2.7482,
1599,2.7484,
1600,2.7482,
1601,2.7482,
1602,2.7481,
1603,2.7484,
1604,2.7482,
1605,2.7481,
1606,2.7479,
1607,2.7481,
1608,2.7481,
1609,2.7481,
1610,2.7481,
1611,2.7479,
1612,2.7479,
1613,2.7478,
1614,2.7478,
1615,2.7478,
1616,2.7476,
1617,2.7476,
1618,2.7478,
1619,2.7476,
1620,2.7475,
1621,2.7478,
1622,2.7476,
1623,2.7476,
1624,2.7475,
1625,2.7476,
1626,2.7475,
1627,2.7475,
1628,2.7475,
1629,2.7473,
1630,2.7472,
1631,2.7472,
1632,2.7473,
1633,2.7473,
1634,2.7473,
1635,2.7472,
1636,2.7473,
1637,2.7473,
1638,2.7472,
1639,2.7472,
1640,2.7469,
1641,2.747,
1642,2.747,
1643,2.7469,
1644,2.747,
1645,2.747,
1646,2.7469,
1647,2.7469,
1648,2.747,
1649,2.7467,
1650,2.7467,
1651,2.7469,
1652,2.7467,
1653,2.7469,
1654,2.7469,
1655,2.7467,
1656,2.7467,
1657,2.7467,
1658,2.7465,
1659,2.7464,
1660,2.7465,
1661,2.7462,
1662,2.7465,
1663,2.7462,
1664,2.7462,
1665,2.7464,
1666,2.7464,
1667,2.7464,
1668,2.7464,
1669,2.7462,
1670,2.7462,
1671,2.7462,
1672,2.7462,
1673,2.7461,
1674,2.7461,
1675,2.7462,
1676,2.7459,
1677,2.7462,
1678,2.7459,
1679,2.7462,
1680,2.7458,
1681,2.7459,
1682,2.7462,
1683,2.7458,
1684,2.7459,
1685,2.7455,
1686,2.7458,
1687,2.7453,
1688,2.7455,
1689,2.7456,
1690,2.7458,
1691,2.7456,
